Caso;Descripcion;Respuesta
1;Geo;Usted ha sido asignado al local de votación (nombre del local), ubicado en (direccion del local). Su domicilio electoral registrado en el Servicio Electoral se encuentra dentro del territorio que corresponde a dicho local, el que se determina a partir de la capacidad máxima de mesas de dicho local y la densidad de electores a su alrededor. Esta asignación se realiza en cumplimiento de la Ley N°21.385, que procura el acercamiento de los electores a los locales de votación considerando su domicilio electoral registrado. Sin embargo, este no necesariamente puede ser el más cercano a su domicilio.
2;Geo direccion disinta;"Usted ha sido asignado al local de votación (nombre del local), ubicado en (direccion del local). Su domicilio electoral registrado en el Servicio Electoral se encuentra dentro del territorio que corresponde a dicho local, el que se determina a partir de la capacidad máxima de mesas de dicho local y la densidad de electores a su alrededor. 
El domicilio electoral que usted señala no corresponde al registrado en el Servicio Electoral. Por ello, le recomendamos actualizar su domicilio. Sin embargo, el plazo para realizar cambios de domicilio ya finalizó para las Elecciones de presidente de la República y de Parlamentarios 2025. Podrá efectuar este trámite nuevamente a partir del 1 de diciembre de 2025, en caso de que no haya segunda vuelta presidencial, o desde el 2 de enero de 2026, en caso de que sí la haya.
Este trámite puede realizarse en línea con Clave Única en https://cambiodomicilio.servel.cl, o de forma presencial en las direcciones regionales de Servel y en las oficinas de ChileAtiende."
3;NO GEO;"Usted ha sido asignado al local de votación (nombre del local), ubicado en (direccion del local) que corresponde a uno con facilidad de acceso dentro de la comuna dado que su domicilio electoral registrado en el Servicio Electoral, no pudo ser ubicado geográficamente. Esto se debe a que la direccion de su domicilio se encuentra incompleto, con abreviaturas o errores, impidiendo la correcta ubicación de su local de votación.Le recomendamos revisar su domicilio electoral en la página del Servicio Electoral. Si este presenta errores, y dado que el plazo para realizar cambios de domicilio ya finalizó para las Elecciones de Presidente de la República y de Parlamentarios 2025, podrá efectuar este trámite nuevamente a partir del 1 de diciembre de 2025, en caso de que no haya segunda vuelta presidencial, o desde el 2 de enero de 2026, en caso de que sí la haya.
Dicho trámite lo puede realizar a través de clave única en la página web https://cambiodomicilio.servel.cl/ o de forma presencial en las dependencias de la Dirección Regional de Servel o en las oficinas de ChileAtiende."
4;Error no grave;Usted ha sido asignado al local de votación (nombre del local), ubicado en (direccion del local). Sin embargo, le señalamos que efectivamente existen locales de votación más cercanos a su domicilio. Esta situación será considerada y corregida para el próximo proceso electoral.
4.1;“No Aplica”.;Revisando su caso, constatamos que el cambio de domicilio electoral fue realizado directamente por usted a través de la plataforma habilitada, mediante una declaración jurada, lo que permitió determinar automáticamente la ubicación asociada al nuevo domicilio. Efectivamente, hemos detectado una diferencia en la georreferenciación y realizaremos el ajuste correspondiente en nuestra base de datos quedando corregido para su correcta asignación para el próximo proceso electoral
5;Comuna distinta;Con fecha (fecha), usted solicitó un cambio de domicilio electoral mediante (origen), dando curso a que el Servicio Electoral modificara su inscripción electoral a la comuna de (comuna respectiva), en consideración de los datos proporcionados. Es por este motivo que el Servicio Electoral, como resultado de la georreferenciación de su nuevo domicilio electoral, modificó su Circunscripción Electoral a (comuna respectiva) en atención a la concordancia de parte del domicilio electoral ingresado, dando como resultado la asignación a local de votación (nombre del local). 
6;FAMILIA DISTINTA;"Usted ha sido asignado al local de votación (nombre del local), ubicado en (direccion del local). Su domicilio electoral se encuentra dentro del territorio establecido para dicho local, el cual se determina en función de la capacidad máxima de mesas del recinto y la densidad de electores existentes. Si los integrantes de su hogar no fueron asignados todos al mismo local de votación, ello puede deberse al domicilio electoral que tienen registrado. Es posible que este no esté actualizado o que haya sido ingresado de forma tal que dificultó su correcta georreferenciación.
Lamentablemente, el plazo para realizar cambios de domicilio electoral venció el 28 de junio de 2025, por lo que no es posible modificar esta información para el presente proceso eleccionario.
Le recomendamos revisar su domicilio electoral en la página del Servicio Electoral. Si este presenta errores, podrá efectuar el trámite de actualización nuevamente a partir del 1 de diciembre de 2025, en caso de que no haya segunda vuelta presidencial, o desde el 2 de enero de 2026, en caso de que sí la haya."
7;RECINTO NO DISPONIBLE;Usted ha sido asignado(a) al Local de Votación (nombre del local), ubicado en (direccion del local), comuna de (comuna respectiva). El Local de Votación al cual fue asignado en las elecciones anteriores no se encuentra habilitado para este proceso eleccionario. En su reemplazo se definió el local al que se encuentra actualmente asignado.
8;ERROR GRAVE - NO USAR;Hemos revisado su caso y a la luz de los antecedentes aportados se realizará una rectificación del local de votación asignado. Su nuevo local será (nombre de nuevo local), ubicado en (direccion del nuevo local).
9;REVISAR;Usted ha sido asignado(a) al Local de Votación (nombre del local), ubicado en (direccion del local), comuna de (comuna respectiva). Esta asignación se realiza conforme a la Ley N°21.385, para privilegiar la cercanía al domicilio del elector, en la asignación del Local de Votación. Es importante destacar que, aunque un elector tenga una correcta georreferenciación, es posible que el local de votación asignado no sea el más cercano. Esto puede deberse a varios factores como, por ejemplo, la capacidad del local. De todas formas, le recomendamos verificar sus datos electorales para asegurarse de que su domicilio electoral esté correctamente registrado. Asegúrese de que la dirección esté escrita sin abreviaturas e incluya todos los detalles, como el número de domicilio, pasaje, calle, población, villa, sector o localidad correspondiente. Le recomendamos revisar su domicilio electoral en la página del Servicio Electoral. Si este presenta errores, podrá efectuar el trámite de actualización nuevamente a partir del 1 de diciembre de 2025, en caso de que no haya segunda vuelta presidencial, o desde el 2 de enero de 2026, en caso de que sí la haya.
10;Reclamo primaria;Usted ha sido asignado(a) al Local de Votación (nombre del local), ubicado en (direccion del local), comuna de (comuna respectiva). Esta elección se realiza conforme a la Ley N°20.640, sobre la nominación de candidatos a Presidente de la República y Parlamentarios, y en función de la Ley N°21.385, para privilegiar la cercanía del domicilio del elector, en la asignación del local de votación. En base a lo dicho, al ser la elección de Primarias tipo del proceso y año de carácter voluntario y enfocado en la decisión que cada partido político tome respecto a la nominación en curso, se reducen la cantidad de locales de votación disponibles para el día de la elección lo que puede provocar cambios respecto a la Elecciones Municipales y de Gobernadores regionales 2024. En base a lo dicho, le recomendamos revisar su domicilio electoral en la página del Servicio Electoral para futuros procesos eleccionarios, ya que la disponibilidad de locales de votación cambia en función a la tipología del proceso, asegurando plenamente el cumplimiento de la Ley N°21.385, privilegiando la cercanía del domicilio electoral a un local de votación.
11;No vota;Usted ha sido asignado(a) al Local de Votación (nombre del local), ubicado en (direccion del local), comuna de (comuna respectiva). Esta asignación se realiza conforme a la Ley N°21.385 para privilegiar la cercanía al domicilio del elector, en la asignación del Local de Votación. Es importante destacar que, aunque un elector tenga una correcta georreferenciación, es posible que el local de votación asignado no sea el más cercano. Esto puede deberse a varios factores como, por ejemplo, la capacidad del local.Dado que usted no se ha presentado a sufragar en los últimos procesos eleccionarios, hemos mejorado la georreferenciación de su domicilio asegurando una mayor cercanía de su domicilio electoral a un local de votación para que pueda presentarse el día de la elección  tipo de elección y año. De todas formas, le recomendamos verificar sus datos electorales para asegurarse de que su domicilio electoral esté correctamente registrado.

